name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
S130 205/55 R16 91 V,Tracmax,S130,205/55 R16,91,V,C,B,B,70.0,Ekonomiczna,5.2,249.75,medium
I FIT+ 205/55 R16 91 H,Laufenn,I FIT+,205/55 R16,91,H,,,,,,5.4,328.57,full
Blizzak 6 205/55 R16 94 H,Bridgestone,Blizzak 6,205/55 R16,94,H,,,,,Premium,5.1,502.64,full
MP93 Nordicca 205/55 R16 94 V,Matador,MP93 Nordicca,205/55 R16,94,V,C,C,B,72.0,Średnia,5.4,330.12,full
Wintercraft WP52 205/55 R16 94 H,Kumho,Wintercraft WP52,205/55 R16,94,H,C,B,B,72.0,Średnia,5.1,514.43,medium
SNOWGRIPPER I 205/55 R16 91 H,Ilink,SNOWGRIPPER I,205/55 R16,91,H,C,D,B,69.0,,4.3,220.18,full
Wintrac 205/55 R16 94 H,Vredestein,Wintrac,205/55 R16,94,H,C,B,B,70.0,Premium,5.4,416.99,full
Winmaster ARW 2 205/55 R16 91 H,Arivo,Winmaster ARW 2,205/55 R16,91,H,C,C,B,70.0,,5.6,237.71,full
UltraGrip 9+ 205/55 R16 91 H,Goodyear,UltraGrip 9+,205/55 R16,91,H,C,B,B,71.0,Premium,5.5,514.64,full
Ultra Grip Performance 3 205/55 R16 91 H,Goodyear,Ultra Grip Performance 3,205/55 R16,91,H,C,B,B,70.0,Premium,5.5,458.08,full
TW401 205/55 R16 94 V,Triangle,TW401,205/55 R16,94,V,D,C,B,72.0,,,260.58,full
Winter Sottozero 3 205/55 R16 91 H,Pirelli,Winter Sottozero 3,205/55 R16,91,H,C,B,A,68.0,Premium,5.5,557.99,full
DIMAX WINTER 205/55 R16 94 V,Radar,DIMAX WINTER,205/55 R16,94,V,C,B,B,69.0,Ekonomiczna,,315.61,full
ESKIMO HP2 205/55 R16 94 H,Sava,ESKIMO HP2,205/55 R16,94,H,C,D,B,72.0,Ekonomiczna,5.2,487.45,full
Alnac 4G Winter 205/55 R16 91 T,Apollo,Alnac 4G Winter,205/55 R16,91,T,,,,,Średnia,5.3,317.97,medium
MP93 Nordicca 205/55 R16 91 H,Matador,MP93 Nordicca,205/55 R16,91,H,C,C,B,72.0,Średnia,5.4,354.72,full
WinTech NewGen 205/55 R16 91 H,Viking,WinTech NewGen,205/55 R16,91,H,B,C,B,72.0,,5.5,340.95,full
UltraGrip Performance Gen-1 205/55 R16 91 H,Goodyear,UltraGrip Performance Gen-1,205/55 R16,91,H,C,B,B,72.0,Premium,5.4,610.33,medium
Blizzak LM005 205/55 R16 94 H,Bridgestone,Blizzak LM005,205/55 R16,94,H,C,A,B,71.0,Premium,5.5,602.35,full
ICE BLAZER ALPINE PLUS WSL3+ 205/55 R16 91 H,Sailun,ICE BLAZER ALPINE PLUS WSL3+,205/55 R16,91,H,D,C,B,72.0,,4.4,229.99,full
Observe S944 205/55 R16 91 H,Toyo,Observe S944,205/55 R16,91,H,D,B,A,69.0,Średnia,5.0,332.57,full
Kristall Montero 3 205/55 R16 91 T,Fulda,Kristall Montero 3,205/55 R16,91,T,C,C,B,72.0,Średnia,5.2,620.59,full
SNOWBLAZER 205/55 R16 94 H,Windforce,SNOWBLAZER,205/55 R16,94,H,E,B,B,72.0,,5.0,441.07,medium
Cinturato Winter 2 205/55 R16 91 H,Pirelli,Cinturato Winter 2,205/55 R16,91,H,C,B,A,69.0,Premium,5.6,422.8,low
Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,D,B,B,72.0,Premium,5.3,468.15,full
Wintercraft WP52 205/55 R16 91 H,Kumho,Wintercraft WP52,205/55 R16,91,H,C,B,B,72.0,Średnia,5.1,390.76,full
SNOWAYS 4 205/55 R16 91 H,Lassa,SNOWAYS 4,205/55 R16,91,H,D,B,A,69.0,,1.0,416.96,full
Eurowinter HS01 205/55 R16 91 H,Falken,Eurowinter HS01,205/55 R16,91,H,E,C,B,71.0,Średnia,5.1,512.56,full
Krisalp HP3 205/55 R16 94 V,Kleber,Krisalp HP3,205/55 R16,94,V,D,B,A,68.0,Średnia,5.3,422.12,medium
Cinturato Winter 2 205/55 R16 94 H,Pirelli,Cinturato Winter 2,205/55 R16,94,H,C,B,A,69.0,Premium,5.6,470.0,full
WinterExpert 205/55 R16 94 H,Uniroyal,WinterExpert,205/55 R16,94,H,C,B,B,71.0,Średnia,5.4,433.27,full
Kristall Control HP2 205/55 R16 94 V,Fulda,Kristall Control HP2,205/55 R16,94,V,C,C,B,72.0,Średnia,5.3,508.72,full
Alnac 4G Winter 205/55 R16 91 H,Apollo,Alnac 4G Winter,205/55 R16,91,H,,,,,Średnia,5.3,352.48,medium
Blizzak LM001 205/55 R16 91 H,Bridgestone,Blizzak LM001,205/55 R16,91,H,D,B,B,72.0,Premium,5.3,553.73,medium
WinTech NewGen 205/55 R16 94 V,Viking,WinTech NewGen,205/55 R16,94,V,B,C,B,72.0,,5.5,340.95,medium
FROSTRACK HP 205/55 R16 91 V,Minerva,FROSTRACK HP,205/55 R16,91,V,,,,,,5.3,323.94,medium
SP Winter Sport 4D 205/55 R16 91 H,Dunlop,SP Winter Sport 4D,205/55 R16,91,H,D,C,B,70.0,Premium,4.9,488.99,low
Eurowinter HS02 205/55 R16 94 V,Falken,Eurowinter HS02,205/55 R16,94,V,C,B,A,69.0,Średnia,5.4,560.13,low
L-SNOW96 205/55 R16 91 H,Ilink,L-SNOW96,205/55 R16,91,H,C,D,B,69.0,,,200.82,full
Alpin 7 205/55 R16 94 H,Michelin,Alpin 7,205/55 R16,94,H,C,B,B,71.0,Premium,5.5,544.88,full
WINTER DRIVE 205/55 R16 91 H,Ceat,WINTER DRIVE,205/55 R16,91,H,C,C,B,70.0,,4.8,399.53,full
WH01 205/55 R16 91 H,Roadx,WH01,205/55 R16,91,H,,,,,,4.8,315.47,full
Snowtrac 5 205/55 R16 91 H,Vredestein,Snowtrac 5,205/55 R16,91,H,C,B,A,69.0,Premium,5.4,455.99,medium
SP Winter Sport 4D 205/55 R16 91 H,Dunlop,SP Winter Sport 4D,205/55 R16,91,H,C,C,B,70.0,Premium,4.9,488.99,low
Powergy Winter 205/55 R16 91 H,Pirelli,Powergy Winter,205/55 R16,91,H,C,C,B,71.0,Premium,,419.74,low
ContiWinterContact TS 830 P 205/55 R16 91 H,Continental,ContiWinterContact TS 830 P,205/55 R16,91,H,D,C,B,72.0,Premium,5.0,564.85,full
Blizzak LM001 EVO 205/55 R16 91 H,Bridgestone,Blizzak LM001 EVO,205/55 R16,91,H,C,B,B,72.0,Premium,4.6,464.46,full
DIPLOMAT WINTER HP 205/55 R16 91 T,Diplomat,DIPLOMAT WINTER HP,205/55 R16,91,T,,,,,,,977.37,full
ESKIMO HP2 205/55 R16 91 H,Sava,ESKIMO HP2,205/55 R16,91,H,C,B,B,71.0,Ekonomiczna,5.2,378.07,medium
I FIT+ 205/55 R16 91 T,Laufenn,I FIT+,205/55 R16,91,T,,,,,,5.4,526.75,medium
S210 205/55 R16 91 H,Rotalla,S210,205/55 R16,91,H,C,C,B,72.0,Ekonomiczna,4.7,238.12,full
VIAMAGGIORE 205/55 R16 91 T,Premiorri,VIAMAGGIORE,205/55 R16,91,T,D,D,B,71.0,Ekonomiczna,4.3,226.99,full
Blizzak 6 205/55 R16 94 V,Bridgestone,Blizzak 6,205/55 R16,94,V,,,,,Premium,5.1,621.21,full
SNOWDRAGON UHP 205/55 R16 91 H,Imperial,SNOWDRAGON UHP,205/55 R16,91,H,C,C,B,72.0,,4.7,328.3,full
Ultra Grip 8 205/55 R16 91 H,Goodyear,Ultra Grip 8,205/55 R16,91,H,,,,,Premium,5.2,634.11,full
Weather Master SA 2+ 205/55 R16 91 T,Cooper,Weather Master SA 2+,205/55 R16,91,T,D,B,B,71.0,Średnia,4.3,299.43,full
Winter Sport 5 205/55 R16 91 H,Dunlop,Winter Sport 5,205/55 R16,91,H,,,,,Premium,5.4,474.21,full
Krisalp HP3 205/55 R16 94 H,Kleber,Krisalp HP3,205/55 R16,94,H,D,B,A,69.0,Średnia,5.3,441.73,full
Snow 205/55 R16 91 T,Kormoran,Snow,205/55 R16,91,T,D,C,B,72.0,Ekonomiczna,5.1,505.96,full
WH1000 205/55 R16 94 V,Zeetex,WH1000,205/55 R16,94,V,,,,,,5.3,547.96,full
Winterhawk 4 205/55 R16 91 T,Firestone,Winterhawk 4,205/55 R16,91,T,C,B,B,71.0,Średnia,5.3,332.99,full
Winterhawk 4 205/55 R16 94 V,Firestone,Winterhawk 4,205/55 R16,94,V,C,B,B,71.0,Średnia,5.3,495.47,full
S210 205/55 R16 94 H,Tracmax,S210,205/55 R16,94,H,C,C,B,72.0,Ekonomiczna,5.3,417.61,full
g-Force Winter 2 205/55 R16 91 H,Bfgoodrich,g-Force Winter 2,205/55 R16,91,H,D,B,A,69.0,Średnia,5.2,420.26,full
WINTER 205/55 R16 94 H,Taurus,WINTER,205/55 R16,94,H,D,C,B,72.0,,4.6,389.26,full
Ultra Grip Performance 3 205/55 R16 94 H,Goodyear,Ultra Grip Performance 3,205/55 R16,94,H,C,B,B,70.0,Premium,5.5,531.99,full
Observe S944 205/55 R16 94 V,Toyo,Observe S944,205/55 R16,94,V,D,B,B,71.0,Średnia,5.0,458.66,full
Krisalp HP3 205/55 R16 91 T,Kleber,Krisalp HP3,205/55 R16,91,T,D,B,A,69.0,Średnia,5.3,408.49,medium
Blizzak LM005 DriveGuard 205/55 R16 94 V,Bridgestone,Blizzak LM005 DriveGuard,205/55 R16,94,V,C,A,B,71.0,Premium,5.2,673.42,medium
WINTECH 205/55 R16 91 T,Viking,WINTECH,205/55 R16,91,T,D,C,B,72.0,,5.3,729.35,full
WinTech NewGen 205/55 R16 91 T,Viking,WinTech NewGen,205/55 R16,91,T,B,C,B,72.0,,5.5,385.6,low
Ultra Grip Performance 2 205/55 R16 91 H,Goodyear,Ultra Grip Performance 2,205/55 R16,91,H,D,C,B,72.0,Premium,2.3,856.44,low
I FIT+ 205/55 R16 94 H,Laufenn,I FIT+,205/55 R16,94,H,,,,,,5.4,427.92,medium
WINTERPRO 2 205/55 R16 91 T,Gt radial,WINTERPRO 2,205/55 R16,91,T,,,,,,4.8,478.49,full
WinterContact TS 860 205/55 R16 91 H,Continental,WinterContact TS 860,205/55 R16,91,H,,,,,Premium,5.5,3240.55,full
UltraGrip 9+ 205/55 R16 91 T,Goodyear,UltraGrip 9+,205/55 R16,91,T,C,B,B,71.0,Premium,5.5,531.72,full
WINTER HP 205/55 R16 91 H,Kelly,WINTER HP,205/55 R16,91,H,,,,,,,368.93,full
WINTER HP 205/55 R16 91 T,Kelly,WINTER HP,205/55 R16,91,T,,,,,,,503.5,full
WR D4 205/55 R16 91 H,Nokian Tyres,WR D4,205/55 R16,91,H,C,B,A,69.0,Premium,5.5,350.3,full
WT200 205/55 R16 91 H,Sumitomo,WT200,205/55 R16,91,H,,,,,,5.3,264.04,full
I FIT+ 205/55 R16 91 H,Laufenn,I FIT+,205/55 R16,91,H,C,C,B,72.0,,5.4,491.76,medium
SP Winter Sport 3D 205/55 R16 91 H,Dunlop,SP Winter Sport 3D,205/55 R16,91,H,D,C,B,70.0,Premium,4.7,563.79,low
SPEED-GRIP5 205/55 R16 91 H,Semperit,SPEED-GRIP5,205/55 R16,91,H,C,B,B,72.0,,4.5,473.39,low
WINTERPRO2 (EVO)* 205/55 R16 91 H,Gt radial,WINTERPRO2 (EVO)*,205/55 R16,91,H,D,B,B,70.0,,,351.77,full
Winter Sport 5 205/55 R16 94 V,Dunlop,Winter Sport 5,205/55 R16,94,V,C,B,B,71.0,Premium,5.4,535.02,full
GitiWinter W2 205/55 R16 91 T,Giti,GitiWinter W2,205/55 R16,91,T,D,B,A,68.0,,,412.66,full
WinterContact TS 860 S 205/55 R16 91 H,Continental,WinterContact TS 860 S,205/55 R16,91,H,C,C,B,72.0,Premium,5.6,573.05,full
Z507 205/55 R16 91 V,Westlake,Z507,205/55 R16,91,V,,,,,Ekonomiczna,4.8,263.21,full
WINTECH 205/55 R16 94 H,Viking,WINTECH,205/55 R16,94,H,D,C,C,72.0,,5.3,704.13,medium
WR Snowproof 205/55 R16 91 H,Nokian Tyres,WR Snowproof,205/55 R16,91,H,D,B,A,69.0,Premium,5.5,701.76,medium
Hakkapeliitta R5 205/55 R16 94 R,Nokian Tyres,Hakkapeliitta R5,205/55 R16,94,R,B,D,A,67.0,Premium,,641.02,medium
SPEED-GRIP5 205/55 R16 94 H,Semperit,SPEED-GRIP5,205/55 R16,94,H,C,B,B,72.0,,4.5,460.72,medium
SNOWROAD PRO 3 205/55 R16 94 H,Tomket,SNOWROAD PRO 3,205/55 R16,94,H,,,,,,,301.71,full
Winter Activa 4 205/55 R16 94 V,Nankang,Winter Activa 4,205/55 R16,94,V,C,B,B,71.0,,,328.98,full
BLUEWIN UHP 205/55 R16 91 H,Superia,BLUEWIN UHP,205/55 R16,91,H,,,,,,,293.53,full
SNOW LEOPARD 205/55 R16 91 T,Mazzini,SNOW LEOPARD,205/55 R16,91,T,E,C,B,72.0,,4.2,510.83,full
SNOWPOWER UHP 205/55 R16 94 H,Tristar,SNOWPOWER UHP,205/55 R16,94,H,,,,,,4.8,322.01,full
SNOWPOWER 205/55 R16 91 H,Lanvigator,SNOWPOWER,205/55 R16,91,H,D,D,B,72.0,,,2394.84,full
Cinturato Winter 205/55 R16 91 H,Pirelli,Cinturato Winter,205/55 R16,91,H,C,B,B,70.0,Premium,5.4,494.7,full
DIMAX ALPINE 205/55 R16 91 H,Radar,DIMAX ALPINE,205/55 R16,91,H,D,C,A,69.0,Ekonomiczna,5.2,301.71,full
Wintercraft WP52 205/55 R16 91 T,Kumho,Wintercraft WP52,205/55 R16,91,T,C,B,B,72.0,Średnia,5.1,355.99,full
Winmaster ProX ARW 3 205/55 R16 91 H,Arivo,Winmaster ProX ARW 3,205/55 R16,91,H,C,D,B,69.0,,5.8,369.36,full
g-Force Winter 2 205/55 R16 91 T,Bfgoodrich,g-Force Winter 2,205/55 R16,91,T,D,B,A,69.0,Średnia,5.2,564.35,full
Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,C,B,B,72.0,Premium,5.3,436.47,full
Winter i*cept RS3 W462 205/55 R16 94 V,Hankook,Winter i*cept RS3 W462,205/55 R16,94,V,C,B,B,72.0,Premium,5.3,486.63,full
Ultra Grip Performance 3 205/55 R16 94 V,Goodyear,Ultra Grip Performance 3,205/55 R16,94,V,C,B,B,70.0,Premium,5.5,676.59,full
FROSTRACK UHP 205/55 R16 94 H,Minerva,FROSTRACK UHP,205/55 R16,94,H,,,,,,4.5,358.54,full
WH01 205/55 R16 94 V,Roadx,WH01,205/55 R16,94,V,,,,,,4.8,318.74,full
Snow 205/55 R16 91 H,Riken,Snow,205/55 R16,91,H,D,C,B,72.0,,4.8,385.6,full
SPEED-GRIP5 205/55 R16 94 V,Semperit,SPEED-GRIP5,205/55 R16,94,V,C,B,B,72.0,,4.5,567.06,full
W586 205/55 R16 91 H,Ovation,W586,205/55 R16,91,H,,,,,,5.4,319.79,full
Winter i*cept RS3 W462 205/55 R16 91 T,Hankook,Winter i*cept RS3 W462,205/55 R16,91,T,C,B,B,72.0,Premium,5.3,404.86,full
Winter i*cept RS3 W462 205/55 R16 91 T,Hankook,Winter i*cept RS3 W462,205/55 R16,91,T,C,B,B,72.0,Premium,5.3,428.2,full
PREMITRA SNOW WP6 205/55 R16 91 H,Maxxis,PREMITRA SNOW WP6,205/55 R16,91,H,,,,,,4.9,376.7,full
Alnac 4G Winter 205/55 R16 94 H,Apollo,Alnac 4G Winter,205/55 R16,94,H,,,,,Średnia,5.3,424.76,full
Observe GSi6 HP 205/55 R16 94 H,Toyo,Observe GSi6 HP,205/55 R16,94,H,E,E,B,71.0,Średnia,,597.21,full
RoyalWinter HP 205/55 R16 91 H,Royal Black,RoyalWinter HP,205/55 R16,91,H,C,D,B,72.0,,4.9,281.04,full
SNOW LEOPARD 2 205/55 R16 94 T,Mazzini,SNOW LEOPARD 2,205/55 R16,94,T,B,C,B,72.0,,5.5,512.56,full
WH1000 205/55 R16 91 H,Zeetex,WH1000,205/55 R16,91,H,,,,,,5.3,315.46,full
SW608 205/55 R16 91 H,Trazano,SW608,205/55 R16,91,H,,,,,,4.6,226.15,full
WINTER 205/55 R16 91 H,Orium,WINTER,205/55 R16,91,H,D,C,B,72.0,,,302.02,full
Winter Snowcontrol Serie 3 205/55 R16 91 H,Pirelli,Winter Snowcontrol Serie 3,205/55 R16,91,H,D,B,B,72.0,Premium,5.4,559.0,full
A502 205/55 R16 94 H,Aplus,A502,205/55 R16,94,H,,,,,,,246.69,full
WINTER-MAX A1 MW255 205/55 R16 91 H,Milever,WINTER-MAX A1 MW255,205/55 R16,91,H,C,C,B,72.0,,,214.42,full
WinterExpert 205/55 R16 94 V,Uniroyal,WinterExpert,205/55 R16,94,V,C,B,B,71.0,Średnia,5.4,530.99,full
Wintercraft WP51 205/55 R16 91 H,Kumho,Wintercraft WP51,205/55 R16,91,H,E,C,B,72.0,Średnia,5.3,418.03,full
SNOWPOWER HP 205/55 R16 91 V,Tristar,SNOWPOWER HP,205/55 R16,91,V,,,,,,5.1,317.95,full
BluEarth Winter V906 205/55 R16 94 V,Yokohama,BluEarth Winter V906,205/55 R16,94,V,D,B,B,71.0,Premium,5.3,484.19,full
Hakkapeliitta 9 205/55 R16 94 T,Nokian Tyres,Hakkapeliitta 9,205/55 R16,94,T,,,,,Premium,,817.4,full
Winter Snowcontrol Serie 3 205/55 R16 91 H,Pirelli,Winter Snowcontrol Serie 3,205/55 R16,91,H,,,,,Premium,5.4,760.15,full
Weather Master SA 2+ 205/55 R16 94 V,Cooper,Weather Master SA 2+,205/55 R16,94,V,,,,,Średnia,4.3,691.27,full
WINTER 205/55 R16 91 T,Taurus,WINTER,205/55 R16,91,T,D,C,B,72.0,,4.6,364.84,full
SNOWPOWER UHP 205/55 R16 91 H,Tristar,SNOWPOWER UHP,205/55 R16,91,H,,,,,,4.8,1133.57,full
UltraGrip 9+ 205/55 R16 94 H,Goodyear,UltraGrip 9+,205/55 R16,94,H,C,B,B,71.0,Premium,5.5,770.43,full
TREK M7 205/55 R16 91 H,Maxtrek,TREK M7,205/55 R16,91,H,,,,,,,377.24,full
WR Snowproof 205/55 R16 91 T,Nokian Tyres,WR Snowproof,205/55 R16,91,T,C,B,A,69.0,Premium,5.5,751.58,full
