name,brand,model,size,load_index,speed_index,fuel_index,wet_grip_index,noise_index,noise_level,class,user_rating,price,availability
Nexen Winguard SnowG 3 WH21 205/55 R16 94 V XL,Nexen,Winguard SnowG 3 WH21,205/55 R16,94,V,D,C,B,72,Średnia,4.5,344,full
Kumho WinterCraft WP52 205/55 R16 91 H,Kumho,WinterCraft WP52,205/55 R16,91,H,C,B,B,72,Średnia,4.5,347,full
Hankook Winter i*cept RS3 W462 205/55 R16 91 T,Hankook,Winter i*cept RS3 W462,205/55 R16,91,T,C,B,B,72,Średnia,4.6,349,full
Yokohama BluEarth-Winter V906 205/55 R16 91 H,Yokohama,BluEarth-Winter V906,205/55 R16,91,H,D,B,B,71,Premium,4.6,354,full
Falken Eurowinter HS02 205/55 R16 91 H,Falken,Eurowinter HS02,205/55 R16,91,H,D,B,A,69,Średnia,4.6,357,
Nokian Tyres Snowproof 1 205/55 R16 91 H,Nokian Tyres,Snowproof 1,205/55 R16,91,H,C,B,B,70,Premium,4.6,363,full
Vredestein Wintrac 205/55 R16 91 T,Vredestein,Wintrac,205/55 R16,91,T,C,B,B,70,Premium,4.7,369,full
Vredestein Wintrac 205/55 R16 91 H,Vredestein,Wintrac,205/55 R16,91,H,C,B,B,70,Premium,4.7,384,
Pirelli Powergy Winter 205/55 R16 91 H,Pirelli,Powergy Winter,205/55 R16,91,H,C,C,B,71,Premium,,387,full
Hankook Winter i*cept RS3 W462 205/55 R16 94 H XL,Hankook,Winter i*cept RS3 W462,205/55 R16,94,H,C,B,B,72,Średnia,4.6,396,full
Hankook Winter i*cept RS3 W462 205/55 R16 91 H,Hankook,Winter i*cept RS3 W462,205/55 R16,91,H,C,B,B,72,Średnia,4.6,397,full
Firestone Winterhawk 4 205/55 R16 94 V XL,Firestone,Winterhawk 4,205/55 R16,94,V,C,B,B,71,Średnia,4.6,398,
Goodyear Ultra Grip 8 205/55 R16 91 H,Goodyear,Ultra Grip 8,205/55 R16,91,H,C,D,B,71,Premium,4.4,399,
Vredestein Wintrac 205/55 R16 94 H XL,Vredestein,Wintrac,205/55 R16,94,H,C,B,B,70,Premium,4.7,417,
Hankook Winter i*cept RS3 W462 205/55 R16 94 V XL,Hankook,Winter i*cept RS3 W462,205/55 R16,94,V,C,B,B,72,Średnia,4.6,427,full
Pirelli Cinturato Winter 2 205/55 R16 91 H,Pirelli,Cinturato Winter 2,205/55 R16,91,H,C,B,A,69,Premium,4.7,434,full
Vredestein Wintrac 205/55 R16 94 V XL,Vredestein,Wintrac,205/55 R16,94,V,C,B,B,70,Premium,4.7,442,
Goodyear UltraGrip Performance 3 205/55 R16 91 H,Goodyear,UltraGrip Performance 3,205/55 R16,91,H,C,B,B,70,Premium,4.7,447,full
Goodyear UltraGrip Performance 3 205/55 R16 91 T,Goodyear,UltraGrip Performance 3,205/55 R16,91,T,C,B,B,70,Premium,4.7,454,full
Continental WinterContact TS 870 205/55 R16 91 H,Continental,WinterContact TS 870,205/55 R16,91,H,C,B,B,70,Premium,4.8,467,
Michelin Alpin 7 205/55 R16 91 H,Michelin,Alpin 7,205/55 R16,91,H,C,B,B,71,Premium,4.8,468,full
Pirelli Cinturato Winter 2 205/55 R16 94 H XL,Pirelli,Cinturato Winter 2,205/55 R16,94,H,C,B,A,69,Premium,4.7,472,full
Michelin Alpin 7 205/55 R16 94 H XL,Michelin,Alpin 7,205/55 R16,94,H,C,B,B,71,Premium,4.8,534,full
Bridgestone Blizzak LM005 DriveGuard 205/55 R16 94 V RUN ON FLAT XL,Bridgestone,Blizzak LM005 DriveGuard,205/55 R16,94,V,C,A,B,71,Premium,4.7,589,
Sunwide SNOWIDE 205/55 R16 91 H,Sunwide,SNOWIDE,205/55 R16,91,H,D,C,B,67,Ekonomiczna,4.8,218,full
Autogreen Snow Chaser 2 AW08 205/55 R16 91 H,Autogreen,Snow Chaser 2 AW08,205/55 R16,91,H,D,C,B,72,Ekonomiczna,,230,full
Ceat WinterDrive 205/55 R16 91 H,Ceat,WinterDrive,205/55 R16,91,H,C,C,B,70,Ekonomiczna,5.0,257,full
Fortune FSR-901 205/55 R16 94 H XL,Fortune,FSR-901,205/55 R16,94,H,D,D,B,72,Ekonomiczna,4.2,261,full
Radar Dimax Alpine 205/55 R16 94 H,Radar,Dimax Alpine,205/55 R16,94,H,D,C,A,69,Ekonomiczna,4.4,264,full
Fortuna Gowin UHP 205/55 R16 91 H,Fortuna,Gowin UHP,205/55 R16,91,H,C,D,A,68,Ekonomiczna,4.2,264,full
Radar Dimax Alpine 205/55 R16 91 H,Radar,Dimax Alpine,205/55 R16,91,H,D,C,A,69,Ekonomiczna,4.4,267,full
Fortuna Gowin UHP 205/55 R16 91 V,Fortuna,Gowin UHP,205/55 R16,91,V,C,D,A,68,Ekonomiczna,4.2,268,medium
Superia Bluewin UHP 205/55 R16 91 H,Superia,Bluewin UHP,205/55 R16,91,H,C,D,A,68,Ekonomiczna,4.8,270,full
Ceat WinterDrive 205/55 R16 94 V XL,Ceat,WinterDrive,205/55 R16,94,V,D,C,B,70,Ekonomiczna,5.0,274,full
Atlas Tires Polarbear UHP 205/55 R16 91 V,Atlas Tires,Polarbear UHP,205/55 R16,91,V,C,D,A,68,Ekonomiczna,4.4,274,full
Superia Bluewin UHP3 205/55 R16 94 H XL,Superia,Bluewin UHP3,205/55 R16,94,H,C,C,A,68,Ekonomiczna,,276,medium
Fortuna Gowin UHP3 205/55 R16 94 H XL,Fortuna,Gowin UHP3,205/55 R16,94,H,C,C,A,68,Ekonomiczna,,276,full
Premiorri Via Maggiore 205/55 R16 91 T,Premiorri,Via Maggiore,205/55 R16,91,T,D,D,B,71,Ekonomiczna,4.2,277,full
Double Coin DW300 205/55 R16 94 V XL,Double Coin,DW300,205/55 R16,94,V,C,D,B,72,Ekonomiczna,,277,full
Mastersteel WINTER + W1 205/55 R16 91 H,Mastersteel,WINTER + W1,205/55 R16,91,H,C,B,B,72,Ekonomiczna,2.4,283,full
Tomket Snowroad 205/55 R16 91 H,Tomket,Snowroad,205/55 R16,91,H,D,C,A,67,Ekonomiczna,,284,full
Premiorri ViaMaggiore Z Plus 205/55 R16 91 H,Premiorri,ViaMaggiore Z Plus,205/55 R16,91,H,D,D,B,70,Ekonomiczna,4.2,284,full
Aplus A701 205/55 R16 91 H,Aplus,A701,205/55 R16,91,H,D,C,B,72,Ekonomiczna,5.0,284,full
Tristar Snowpower HP 205/55 R16 91 V,Tristar,Snowpower HP,205/55 R16,91,V,C,C,B,70,Ekonomiczna,4.2,284,full
Landsail Winter Lander 205/55 R16 91 H,Landsail,Winter Lander,205/55 R16,91,H,C,B,B,72,Ekonomiczna,4.3,286,full
Delinte WD1 205/55 R16 91 H,Delinte,WD1,205/55 R16,91,H,C,B,B,72,Ekonomiczna,3.8,286,full
Linglong Green-Max Winter HP 205/55 R16 94 H,Linglong,Green-Max Winter HP,205/55 R16,94,H,D,C,B,72,Ekonomiczna,3.9,286,full
Fortuna Gowin UHP 205/55 R16 91 H,Fortuna,Gowin UHP,205/55 R16,91,H,D,D,A,68,Ekonomiczna,4.2,286,full
Linglong Grip Master Winter 205/55 R16 94 V XL,Linglong,Grip Master Winter,205/55 R16,94,V,D,A,B,72,Ekonomiczna,,289,full
Superia Bluewin UHP 205/55 R16 91 H,Superia,Bluewin UHP,205/55 R16,91,H,D,D,A,68,Ekonomiczna,4.8,289,full
Ovation W586 205/55 R16 91 H,Ovation,W586,205/55 R16,91,H,E,D,B,72,Ekonomiczna,4.3,290,full
Fortuna Gowin UHP 205/55 R16 91 V,Fortuna,Gowin UHP,205/55 R16,91,V,D,D,A,68,Ekonomiczna,4.2,290,medium
Tomket Snowroad PRO 3 205/55 R16 94 H XL,Tomket,Snowroad PRO 3,205/55 R16,94,H,C,C,B,72,Ekonomiczna,,292,full
Nexen Winguard Snow'G WH2 205/55 R16 91 H,Nexen,Winguard Snow'G WH2,205/55 R16,91,H,D,C,B,70,Średnia,4.4,295,full
Trazano SW608 205/55 R16 91 H,Trazano,SW608,205/55 R16,91,H,C,C,,73,Ekonomiczna,,295,full
Tristar Snowpower UHP 205/55 R16 94 H XL,Tristar,Snowpower UHP,205/55 R16,94,H,C,C,B,72,Ekonomiczna,3.9,296,full
Tracmax X-Privilo S-130 205/55 R16 91 V,Tracmax,X-Privilo S-130,205/55 R16,91,V,C,B,,70,Ekonomiczna,4.3,297,full
Arivo Winmaster ARW 1 205/55 R16 91 H,Arivo,Winmaster ARW 1,205/55 R16,91,H,C,E,,69,Ekonomiczna,,297,full
Cooper WM-SA2+ 205/55 R16 91 T,Cooper,WM-SA2+,205/55 R16,91,T,E,C,,71,Ekonomiczna,,298,full
Fortuna Gowin UHP3 205/55 R16 94 H XL,Fortuna,Gowin UHP3,205/55 R16,94,H,D,C,A,68,Ekonomiczna,,298,full
Taurus Winter 205/55 R16 94 H XL,Taurus,Winter,205/55 R16,94,H,D,C,B,72,Ekonomiczna,4.8,301,medium
Sailun Ice Blazer Alpine+ 205/55 R16 91 H,Sailun,Ice Blazer Alpine+,205/55 R16,91,H,D,C,B,72,Ekonomiczna,,304,full
Davanti WINTOURA 205/55 R16 91 T,Davanti,WINTOURA,205/55 R16,91,T,E,C,,72,Ekonomiczna,,305,full
Triangle Winter X TW401 205/55 R16 94 V XL,Triangle,Winter X TW401,205/55 R16,94,V,D,C,B,72,Ekonomiczna,4.5,308,full
Sailun Ice Blazer Alpine+ 205/55 R16 94 H XL,Sailun,Ice Blazer Alpine+,205/55 R16,94,H,D,C,B,72,Ekonomiczna,,311,full
West Lake Z-507 205/55 R16 91 V,West Lake,Z-507,205/55 R16,91,V,C,C,B,72,Ekonomiczna,4.4,311,full
Tracmax S210 205/55 R16 94 H XL,Tracmax,S210,205/55 R16,94,H,C,C,B,72,Ekonomiczna,4.0,311,full
Tracmax X-Privilo S-130 205/55 R16 91 V,Tracmax,X-Privilo S-130,205/55 R16,91,V,C,B,B,70,Ekonomiczna,4.3,313,medium
Nordexx WinterSafe 2 205/55 R16 91 H,Nordexx,WinterSafe 2,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.1,314,full
Minerva Frostrack UHP 205/55 R16 94 H XL,Minerva,Frostrack UHP,205/55 R16,94,H,C,C,B,72,Ekonomiczna,4.4,317,full
Rotalla S210 205/55 R16 91 H,Rotalla,S210,205/55 R16,91,H,E,C,,72,Ekonomiczna,4.2,317,full
Leao Winter Defender HP 205/55 R16 94 H,Leao,Winter Defender HP,205/55 R16,94,H,D,C,B,72,Ekonomiczna,,321,full
Petlas Snowmaster 2 205/55 R16 91 H,Petlas,Snowmaster 2,205/55 R16,91,H,C,B,B,71,Ekonomiczna,,321,full
Viking WinTech NewGen 205/55 R16 91 H,Viking,WinTech NewGen,205/55 R16,91,H,B,C,B,72,Ekonomiczna,,321,full
Windforce SnowBlazer 205/55 R16 91 H,Windforce,SnowBlazer,205/55 R16,91,H,E,B,B,72,Ekonomiczna,4.4,326,full
Mastersteel WINTER + W3 205/55 R16 91 H,Mastersteel,WINTER + W3,205/55 R16,91,H,F,C,,71,Ekonomiczna,,332,full
Austone SP901 205/55 R16 91 H,Austone,SP901,205/55 R16,91,H,D,D,B,72,Ekonomiczna,4.5,334,full
Evergreen EW66 205/55 R16 91 H,Evergreen,EW66,205/55 R16,91,H,F,C,,72,Ekonomiczna,2.6,339,full
Goodride SW608 205/55 R16 91 H,Goodride,SW608,205/55 R16,91,H,C,C,,73,Ekonomiczna,3.7,339,full
Goodride SW608 205/55 R16 91 H,Goodride,SW608,205/55 R16,91,H,C,C,B,72,Ekonomiczna,3.7,342,full
Firestone Winterhawk 4 205/55 R16 91 T,Firestone,Winterhawk 4,205/55 R16,91,T,C,B,B,71,Średnia,4.6,342,full
GT Radial WinterPro 2 EVO 205/55 R16 91 H,GT Radial,WinterPro 2 EVO,205/55 R16,91,H,D,B,B,70,Ekonomiczna,,345,full
Minerva Frostrack UHP 205/55 R16 91 H,Minerva,Frostrack UHP,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.4,348,medium
Barum Polaris 6 205/55 R16 91 T,Barum,Polaris 6,205/55 R16,91,T,B,C,B,72,Ekonomiczna,5.0,355,medium
Kenda Wintergen 2 KR501 205/55 R16 94 H XL,Kenda,Wintergen 2 KR501,205/55 R16,94,H,D,B,A,68,Ekonomiczna,3.6,356,full
Kenda Wintergen 2 KR501 205/55 R16 91 T,Kenda,Wintergen 2 KR501,205/55 R16,91,T,D,B,A,68,Ekonomiczna,3.6,357,full
Fortune FSR-901 205/55 R16 91 H,Fortune,FSR-901,205/55 R16,91,H,D,D,B,72,Ekonomiczna,4.2,359,full
Nankang SV-3 205/55 R16 94 H XL,Nankang,SV-3,205/55 R16,94,H,E,C,,71,Ekonomiczna,4.2,360,full
Matador MP93 Nordicca 205/55 R16 94 V XL,Matador,MP93 Nordicca,205/55 R16,94,V,C,C,B,72,Ekonomiczna,4.6,360,medium
Goodride SW618 205/55 R16 91 H,Goodride,SW618,205/55 R16,91,H,E,F,,72,Ekonomiczna,4.7,363,full
GT Radial Champiro WinterPro HP 205/55 R16 94 V XL,GT Radial,Champiro WinterPro HP,205/55 R16,94,V,D,B,B,71,Ekonomiczna,4.0,365,full
Sava Eskimo S3+ 205/55 R16 91 T,Sava,Eskimo S3+,205/55 R16,91,T,C,C,B,72,Ekonomiczna,4.2,366,full
DoubleStar DW08 205/55 R16 91 T,DoubleStar,DW08,205/55 R16,91,T,D,C,B,72,Ekonomiczna,,372,full
Apollo Alnac 4G Winter 205/55 R16 91 T,Apollo,Alnac 4G Winter,205/55 R16,91,T,C,C,B,71,Ekonomiczna,4.4,373,full
Kingstar SW40 205/55 R16 94 T,Kingstar,SW40,205/55 R16,94,T,E,E,,71,Ekonomiczna,3.9,375,full
Apollo Alnac 4G Winter 205/55 R16 91 H,Apollo,Alnac 4G Winter,205/55 R16,91,H,C,C,B,71,Ekonomiczna,4.4,375,medium
Maxxis Premitra Snow WP6 205/55 R16 91 H,Maxxis,Premitra Snow WP6,205/55 R16,91,H,D,B,B,70,Ekonomiczna,5.0,375,medium
Kormoran Snow 205/55 R16 91 T,Kormoran,Snow,205/55 R16,91,T,D,C,B,72,Ekonomiczna,4.5,375,medium
RoadX RX Frost WH01 205/55 R16 91 H,RoadX,RX Frost WH01,205/55 R16,91,H,C,D,B,72,Ekonomiczna,4.5,377,full
Barum Polaris 6 205/55 R16 91 H,Barum,Polaris 6,205/55 R16,91,H,B,C,B,72,Ekonomiczna,5.0,378,full
Kormoran Snow 205/55 R16 91 T,Kormoran,Snow,205/55 R16,91,T,D,C,B,72,Ekonomiczna,4.5,380,full
"DoubleStar DLA01 205/55 R16 94 V XL, FR",DoubleStar,DLA01,205/55 R16,94,V,D,B,B,72,Ekonomiczna,,381,full
Goodride ZuperSnow Z-507 205/55 R16 91 V,Goodride,ZuperSnow Z-507,205/55 R16,91,V,C,C,B,72,Ekonomiczna,4.4,385,full
Nexen Winguard Sport 2 205/55 R16 91 H,Nexen,Winguard Sport 2,205/55 R16,91,H,D,B,B,70,Średnia,4.4,391,full
Dunlop Winter Sport 5 205/55 R16 91 H,Dunlop,Winter Sport 5,205/55 R16,91,H,C,B,B,71,Premium,4.6,393,medium
Viking WinTech NewGen 205/55 R16 94 V XL,Viking,WinTech NewGen,205/55 R16,94,V,B,C,B,72,Ekonomiczna,,397,full
Uniroyal WinterExpert 205/55 R16 91 H,Uniroyal,WinterExpert,205/55 R16,91,H,C,B,B,71,Średnia,4.6,397,full
Kleber Krisalp HP3 205/55 R16 91 H,Kleber,Krisalp HP3,205/55 R16,91,H,D,B,A,69,Średnia,4.6,403,full
Radar Dimax Winter 205/55 R16 94 V XL,Radar,Dimax Winter,205/55 R16,94,V,C,B,B,69,Ekonomiczna,,404,full
Firestone Winterhawk 4 205/55 R16 91 H,Firestone,Winterhawk 4,205/55 R16,91,H,C,B,B,71,Średnia,4.6,408,full
Kleber Krisalp HP3 205/55 R16 91 T,Kleber,Krisalp HP3,205/55 R16,91,T,D,B,A,69,Średnia,4.6,409,full
Kumho WinterCraft WP51 205/55 R16 91 H RUN ON FLAT,Kumho,WinterCraft WP51,205/55 R16,91,H,E,C,B,72,Średnia,4.4,410,full
Toyo Observe S944 205/55 R16 91 H,Toyo,Observe S944,205/55 R16,91,H,D,B,A,69,Średnia,4.6,410,full
Dębica Frigo HP2 205/55 R16 91 H,Dębica,Frigo HP2,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.5,410,medium
Maxxis Premitra Snow WP6 205/55 R16 94 V XL,Maxxis,Premitra Snow WP6,205/55 R16,94,V,D,B,B,70,Ekonomiczna,5.0,412,full
Apollo Alnac 4G Winter 205/55 R16 94 H XL,Apollo,Alnac 4G Winter,205/55 R16,94,H,D,C,B,71,Ekonomiczna,4.4,412,full
Nokian Tyres Snowproof 2 205/55 R16 91 H,Nokian Tyres,Snowproof 2,205/55 R16,91,H,C,B,A,69,Premium,4.7,416,full
Nokian Tyres Snowproof 2 205/55 R16 91 T,Nokian Tyres,Snowproof 2,205/55 R16,91,T,C,B,A,69,Premium,4.7,419,full
RoadX RX Frost WH01 205/55 R16 94 V XL,RoadX,RX Frost WH01,205/55 R16,94,V,D,C,B,72,Ekonomiczna,4.5,424,full
Dunlop Winter Sport 5 205/55 R16 91 T,Dunlop,Winter Sport 5,205/55 R16,91,T,C,B,B,71,Premium,4.6,427,full
Falken Eurowinter HS01 205/55 R16 91 T,Falken,Eurowinter HS01,205/55 R16,91,T,D,B,B,70,Średnia,4.4,434,full
Sava Eskimo HP2 205/55 R16 91 H,Sava,Eskimo HP2,205/55 R16,91,H,C,B,B,71,Ekonomiczna,4.3,437,full
Bridgestone Blizzak 6 205/55 R16 91 H,Bridgestone,Blizzak 6,205/55 R16,91,H,C,B,B,70,Premium,,437,full
Kleber Krisalp HP3 205/55 R16 94 V XL,Kleber,Krisalp HP3,205/55 R16,94,V,D,B,A,68,Średnia,4.6,437,full
Toyo Observe S944 205/55 R16 91 H,Toyo,Observe S944,205/55 R16,91,H,D,B,A,69,Średnia,4.6,438,full
Vredestein Snowtrac 5 205/55 R16 91 H VW,Vredestein,Snowtrac 5,205/55 R16,91,H,C,B,A,69,Premium,4.4,439,full
Matador MP93 Nordicca 205/55 R16 91 T,Matador,MP93 Nordicca,205/55 R16,91,T,C,C,B,72,Ekonomiczna,4.6,439,full
Cooper Weather-Master WSC 205/55 R16 91 T,Cooper,Weather-Master WSC,205/55 R16,91,T,D,C,B,72,Ekonomiczna,4.6,440,medium
GT Radial Champiro WinterPro HP 205/55 R16 94 V XL,GT Radial,Champiro WinterPro HP,205/55 R16,94,V,D,C,B,72,Ekonomiczna,4.0,442,full
West Lake SW608 205/55 R16 91 H,West Lake,SW608,205/55 R16,91,H,C,C,B,72,Ekonomiczna,2.4,442,medium
Toyo Observe S944 205/55 R16 94 V XL,Toyo,Observe S944,205/55 R16,94,V,D,B,B,71,Średnia,4.6,443,full
Yokohama BluEarth-Winter V906 205/55 R16 94 H XL,Yokohama,BluEarth-Winter V906,205/55 R16,94,H,D,B,B,71,Premium,4.6,443,full
Matador MP93 Nordicca 205/55 R16 91 H,Matador,MP93 Nordicca,205/55 R16,91,H,C,C,B,72,Ekonomiczna,4.6,446,full
Dunlop Winter Sport 5 205/55 R16 91 H,Dunlop,Winter Sport 5,205/55 R16,91,H,C,B,,69,Premium,4.6,447,medium
Bridgestone Blizzak LM001 EVO 205/55 R16 91 H,Bridgestone,Blizzak LM001 EVO,205/55 R16,91,H,C,B,B,72,Premium,4.5,448,full
Pirelli Cinturato Winter 205/55 R16 91 H,Pirelli,Cinturato Winter,205/55 R16,91,H,C,B,A,67,Premium,4.5,450,full
Semperit Speed-Grip 5 205/55 R16 91 T,Semperit,Speed-Grip 5,205/55 R16,91,T,C,B,B,72,Średnia,4.8,451,full
Firestone Winterhawk 4 205/55 R16 94 H XL,Firestone,Winterhawk 4,205/55 R16,94,H,C,B,B,71,Średnia,4.6,451,low
Uniroyal WinterExpert 205/55 R16 94 H XL,Uniroyal,WinterExpert,205/55 R16,94,H,C,B,B,71,Średnia,4.6,453,full
Minerva Frostrack HP 205/55 R16 91 V,Minerva,Frostrack HP,205/55 R16,91,V,C,C,B,70,Ekonomiczna,4.4,453,medium
Sava Eskimo HP2 205/55 R16 94 H XL,Sava,Eskimo HP2,205/55 R16,94,H,C,D,B,72,Ekonomiczna,4.3,454,full
Yokohama BluEarth-Winter V906 205/55 R16 91 T,Yokohama,BluEarth-Winter V906,205/55 R16,91,T,D,B,B,71,Premium,4.6,455,full
Arivo Winmaster ARW 2 205/55 R16 91 H,Arivo,Winmaster ARW 2,205/55 R16,91,H,C,C,,70,Ekonomiczna,4.5,460,full
Semperit Speed-Grip 5 205/55 R16 91 H,Semperit,Speed-Grip 5,205/55 R16,91,H,C,B,B,72,Średnia,4.8,465,full
Nexen Winguard Snow'G WH2 205/55 R16 94 V XL,Nexen,Winguard Snow'G WH2,205/55 R16,94,V,D,C,B,70,Średnia,4.4,465,medium
Hankook Winter i*cept RS3 W462B 205/55 R16 91 H RUN ON FLAT,Hankook,Winter i*cept RS3 W462B,205/55 R16,91,H,D,B,B,72,Średnia,4.7,468,full
Lanvigator Snowpower 205/55 R16 91 H,Lanvigator,Snowpower,205/55 R16,91,H,D,D,B,72,Ekonomiczna,,470,full
Fulda Kristall Control HP2 205/55 R16 94 V XL,Fulda,Kristall Control HP2,205/55 R16,94,V,C,C,B,72,Średnia,4.4,470,full
Kleber Krisalp HP3 205/55 R16 94 H XL,Kleber,Krisalp HP3,205/55 R16,94,H,D,B,A,69,Średnia,4.6,473,full
Falken Eurowinter HS01 205/55 R16 91 H RUN ON FLAT,Falken,Eurowinter HS01,205/55 R16,91,H,E,C,B,71,Średnia,4.4,473,full
Riken Snow 205/55 R16 91 T,Riken,Snow,205/55 R16,91,T,D,C,B,72,Ekonomiczna,4.3,474,full
Mazzini Snow Leopard 205/55 R16 91 T,Mazzini,Snow Leopard,205/55 R16,91,T,E,C,,72,Ekonomiczna,5.0,477,full
Vredestein Snowtrac 5 205/55 R16 91 H,Vredestein,Snowtrac 5,205/55 R16,91,H,C,C,,69,Premium,4.4,477,full
Continental WinterContact TS 870 205/55 R16 91 T,Continental,WinterContact TS 870,205/55 R16,91,T,C,B,B,70,Premium,4.8,477,full
Barum Polaris 6 205/55 R16 94 H XL,Barum,Polaris 6,205/55 R16,94,H,B,C,B,72,Ekonomiczna,5.0,481,full
Dunlop Winter Sport 5 205/55 R16 91 T,Dunlop,Winter Sport 5,205/55 R16,91,T,C,B,,69,Premium,4.6,496,full
Bridgestone Blizzak LM001 205/55 R16 91 H *,Bridgestone,Blizzak LM001,205/55 R16,91,H,D,B,B,72,Premium,4.4,505,low
Uniroyal WinterExpert 205/55 R16 94 V XL,Uniroyal,WinterExpert,205/55 R16,94,V,C,B,B,72,Średnia,4.6,506,full
Dunlop Winter Sport 5 205/55 R16 94 H XL,Dunlop,Winter Sport 5,205/55 R16,94,H,C,B,B,71,Premium,4.6,509,full
Nokian Tyres Snowproof 2 205/55 R16 94 H XL,Nokian Tyres,Snowproof 2,205/55 R16,94,H,B,B,A,69,Premium,4.7,511,full
Yokohama BluEarth-Winter V906 205/55 R16 94 V XL,Yokohama,BluEarth-Winter V906,205/55 R16,94,V,D,B,B,71,Premium,4.6,511,full
BFGoodrich G-Force Winter 2 205/55 R16 91 H,BFGoodrich,G-Force Winter 2,205/55 R16,91,H,D,B,A,69,Średnia,4.4,513,medium
Goodyear Ultra Grip 9+ 205/55 R16 91 H,Goodyear,Ultra Grip 9+,205/55 R16,91,H,C,B,B,71,Premium,4.6,521,full
Goodyear UltraGrip Performance 3 205/55 R16 94 H XL,Goodyear,UltraGrip Performance 3,205/55 R16,94,H,C,B,B,70,Premium,4.7,522,full
Bridgestone Blizzak LM005 205/55 R16 91 T,Bridgestone,Blizzak LM005,205/55 R16,91,T,C,A,B,71,Premium,4.7,525,full
BFGoodrich G-Force Winter 2 205/55 R16 94 H XL,BFGoodrich,G-Force Winter 2,205/55 R16,94,H,D,B,A,69,Średnia,4.4,527,medium
